Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Belarus,Europe,994052,10520,,,,7118,75,,,
China,Western Pacific,99381761,6755,0,,0,122398,8,0,,0
French Guiana,,98041,32825,,,,413,138,,,
Latvia,Europe,977783,51255,1,,1,7616,399,3,,3
Saint Vincent and the Grenadines,Americas,9674,8720,,,,124,112,,,
Guinea-Bissau,Africa,9614,489,,,,177,9,,,
Niger,Africa,9573,40,,,,315,1,,,
Comoros,Africa,9109,1047,,,,160,18,,,
Antigua and Barbuda,Americas,9106,9299,,,,146,149,,,
Senegal,Africa,89385,534,,,,1972,12,,,
Malawi,Africa,89168,466,,,,2686,14,,,
Kyrgyzstan,Europe,88953,1363,,,,1024,16,,,
C�te d'Ivoire,Africa,88507,336,,,,835,3,,,
Netherlands (Kingdom of the),Europe,8651413,49699,49,,49,22986,132,,,
Saudi Arabia,Eastern Mediterranean,841469,2417,,,,9646,28,,,
Azerbaijan,Europe,836510,8250,,,,10353,102,,,
American Samoa,Western Pacific,8359,15144,,,,34,62,,,
Suriname,Americas,82515,14066,,,,1406,240,,,
New Caledonia,Western Pacific,80203,28092,,,,314,110,,,
Tokelau,Western Pacific,80,5926,,,,0,,,,
Sierra Leone,Africa,7985,100,,,,125,2,,,
French Polynesia,Western Pacific,79451,28284,,,,650,231,,,
Liberia,Africa,7932,157,,,,294,6,,,
Chad,Africa,7702,47,,,,194,1,,,
British Virgin Islands,Americas,7652,25307,0,,0,64,212,0,,0
Mexico,Americas,7628187,5916,47,,47,334973,260,0,,0
Iran (Islamic Republic of),Eastern Mediterranean,7627863,9082,,,,146837,175,,,
Guyana,Americas,75481,9596,2,,2,1312,167,0,,0
Eswatini,Africa,75356,6495,,,,1427,123,,,
Cook Islands,Western Pacific,7375,41989,,,,2,11,,,
Paraguay,Americas,735759,10316,,,,19880,279,,,
Belize,Americas,71485,17978,3,1,3,688,173,,,
Cyprus,Europe,714224,80430,327,37,327,1364,154,,,
International conveyance (Diamond Princess),Other,712,,,,,13,,,,
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13785,,,,5708,112,,,
Global,,7.78457853E8,4817025.0,22452.0,164.0,22452.0,7099375.0,29496.0,166.0,1.0,166.0
Bahrain,Eastern Mediterranean,696614,40939,,,,1536,90,,,
Turks and Caicos Islands,Americas,6915,17860,4,10,4,41,106,0,,0
Fiji,Western Pacific,69047,7702,,,,885,99,,,
Madagascar,Africa,68692,248,,,,1428,5,,,
Indonesia,South-East Asia,6830274,2497,,,,162059,59,,,
Poland,Europe,6782086,17867,339,1,339,120978,319,,,
Sao Tome and Principe,Africa,6771,3090,,,,80,37,,,
Sri Lanka,South-East Asia,672812,3142,,,,16907,79,,,
Kuwait,Eastern Mediterranean,667290,15625,,,,2570,60,,,
Jersey,,66391,61589,,,,161,149,,,
Dominican Republic,Americas,661103,6094,,,,4384,40,,,
Saint Kitts and Nevis,Americas,6607,12421,,,,46,86,,,
Republic of Moldova,Europe,651152,16142,78,2,78,12284,305,0,,0
Cabo Verde,Africa,64474,11596,,,,417,75,,,
Myanmar,South-East Asia,643397,1183,,,,19494,36,,,
Colombia,Americas,6399721,12577,158,,158,142782,281,0,,0
Sudan,Eastern Mediterranean,63993,146,,,,5046,12,,,
Mauritania,Africa,63891,1374,,,,997,21,,,
Palau,Western Pacific,6372,35220,,,,10,55,,,
Bhutan,South-East Asia,63075,8174,,,,21,3,,,
Estonia,Europe,614843,46264,27,2,27,3151,237,,,
Austria,Europe,6083160,68342,7,,7,22534,253,,,
Greece,Europe,5783173,53955,1823,17,1823,40081,374,1,,1
Syrian Arab Republic,Eastern Mediterranean,57423,328,,,,3163,18,,,
Portugal,Europe,5671586,55086,,,,29300,285,17,,17
Ukraine,Europe,5543832,12676,73,,73,109925,251,0,,0
Venezuela (Bolivarian Republic of),Americas,552743,1944,0,,0,5856,21,,,
Saint Barth�lemy,,5507,55711,,,,5,51,,,
Burundi,Africa,54569,459,,,,15,,,,
Chile,Americas,5410170,28301,1,,1,62873,329,0,,0
Thailand,South-East Asia,5397395,7733,12507,18,12507,34980,50,,,
Nauru,Western Pacific,5393,49778,,,,1,9,,,
Malaysia,Western Pacific,5329836,16467,,,,37351,115,,,
Guam,Western Pacific,52287,30980,,,,419,248,,,
Seychelles,Africa,51899,52771,,,,172,175,,,
Egypt,Eastern Mediterranean,516023,504,,,,24830,24,,,
Qatar,Eastern Mediterranean,514524,17859,,,,690,24,,,
Kiribati,Western Pacific,5085,4257,,,,24,20,,,
Libya,Eastern Mediterranean,507269,7382,,,,6437,94,,,
Ethiopia,Africa,501317,436,,,,7574,7,,,
International conveyance (Solomon Islands),Other,5,,,,,0,,,,
R�union,,494595,55243,,,,921,103,,,
Gabon,Africa,49069,2205,,,,307,14,,,
Belgium,Europe,4897727,42506,70,1,70,34339,298,,,
Israel,Europe,4841558,55936,,,,12707,147,,,
Czechia,Europe,4834066,45204,285,3,285,43816,410,0,,0
Canada,Americas,4819055,12768,,,,55282,146,,,
Andorra,Europe,48015,62143,,,,159,206,,,
Honduras,Americas,472999,4776,8,,8,11114,112,0,,0
Papua New Guinea,Western Pacific,46864,524,,,,670,7,,,
Cura�ao,Americas,45883,27962,,,,305,186,,,
Armenia,Europe,454363,15333,,,,8785,296,,,
Peru,Americas,4532665,13747,1,,1,221058,670,0,,0
India,South-East Asia,45055823,3265,110,,110,533828,39,3,,3
Switzerland,Europe,4479465,51758,87,1,87,14170,164,,,
Aruba,Americas,44224,41421,,,,292,273,,,
United Republic of Tanzania,Africa,43545,73,,,,846,1,,,
Mayotte,,42027,15405,,,,187,69,,,
Philippines,Western Pacific,4140383,3778,,,,66864,61,,,
South Africa,Africa,4072974,6867,,,,102595,173,,,
Bosnia and Herzegovina,Europe,404287,12323,,,,16406,500,,,
Pitcairn,,4,8000,,,,0,,,,
International conveyance (American Samoa),Other,4,,,,,0,,,,
Oman,Eastern Mediterranean,399449,7822,,,,4628,91,,,
Luxembourg,Europe,398319,63618,50,8,50,1000,160,,,
Togo,Africa,39553,478,,,,290,4,,,
Bahamas,Americas,39127,9950,,,,849,216,,,
France,Europe,39042387,60029,306,,306,168162,259,,,
Anguilla,Americas,3904,26023,,,,12,80,,,
Guinea,Africa,38593,294,,,,468,4,,,
Germany,Europe,38437871,46218,1,,1,174979,210,,,
Isle of Man,,38008,44698,,,,116,136,,,
Brazil,Americas,37759364,17764,2750,1,2750,703005,331,3,,3
